question_en,question_ne,response_en,response_ne,intent
Does crying more before periods mean something is wrong?,Period auna agadi dherai runu normal ho?,Increased emotional sensitivity is common before periods due to hormonal changes.,Hormonal pariwartan le period auna agadi emotional sensitivity badhauna sakcha.,mood_question
Are there any drinks that help with period pain?,Period ko dukhai kam garna kun drinks ramro huncha?,Herbal teas like chamomile or ginger tea can help ease menstrual cramps.,Chamomile ya aduwa jasto herbal tea le period ko dukhai kam garna sakcha.,cramp_question
Why do I get leg pain during my period?,Mero period ko bela khutta dukhne kina huncha?,Leg pain during periods may be due to muscle contractions and poor circulation.,Period ko bela khutta dukhai muscle contraction ra poor circulation le huncha.,cramp_question
Can menopause cause weight gain?,Menopause le weight gain huna sakcha?,"Yes, hormonal changes in menopause can lead to weight gain, especially around the abdomen.","Ho, menopause ko hormonal pariwartan le pet waripari weight gain huna sakcha.",menopause_question
Does menopause cause headaches?,Menopause le tauko dukhai badhauna sakcha?,"Yes, hormonal fluctuations during menopause can trigger headaches or migraines.","Ho, menopause ma hormonal fluctuation le tauko dukhai ya migraine badhauna sakcha.",menopause_question
Is it good to eat chocolate during periods?,Period ko bela chocolate khada k huncha?,"Dark chocolate is beneficial as it contains magnesium, which can help reduce cramps.","Dark chocolate ramro huncha kinaki yesma magnesium cha, jasle cramps kam garna madat garcha.",diet_question
What foods should I avoid during my period?,Period ma kun khana haru khanu hundaina?,"It's best to avoid salty, processed, and high-sugar foods as they can cause bloating.","Dherai nunilo, processed, ra high-sugar khana le bloating garna sakcha, tesaile tyo hataunus.",diet_question
Can I go swimming during my period?,Period ma swimming garna milcha?,"Yes, you can swim during your period, especially if using tampons or menstrual cups.","Ho, tampons ya menstrual cup use garera swimming garna sakcha.",lifestyle_question
Is it okay to take painkillers for period cramps?,Period cramps ko lagi painkiller khada k huncha?,Taking painkillers like ibuprofen in moderation is safe for period cramps.,Ibuprofen jasto painkiller moderate amount ma khayeko safe huncha.,lifestyle_question
Why is my period lighter than usual?,Mero period kina normal bhanda halko cha?,"A lighter period can be due to stress, hormonal changes, or diet modifications.","Period halko hunu ko karan stress, hormonal pariwartan, ya diet ma pariwartan huna sakcha.",period_question
Can I get my period twice in a month?,Ekai mahina ma dubaichoti period auna sakcha?,"Yes, if you have a shorter cycle, you may experience two periods in one month.","Ho, cycle chhoto bhaye ekai mahina ma dui choti period auna sakcha.",period_question
Why do I feel dizzy during my period?,Period ko bela chakkar kina aaucha?,Dizziness during periods may be due to low iron levels or dehydration.,Iron ko kami ya dehydration le period ko bela chakkar lagna sakcha.,symptom_question
Can my period cause diarrhea?,Period ma patthalo disha aauna sakcha?,"Yes, prostaglandins released during periods can cause diarrhea.","Ho, period ma prostaglandins le patthalo disha aauna sakcha.",symptom_question
Why does my period smell different sometimes?,Kahile kahi mero period ko ragat ko baas farak kina huncha?,"The smell of period blood can change due to diet, hygiene, or bacterial activity.","Diet, hygiene, ra bacterial activity le period ko baas farak banauna sakcha.",period_question
Can lack of sleep affect my menstrual cycle?,Nindra ko kami le mero period ma asar parcha?,"Yes, irregular sleep can affect hormone levels and cause period irregularities.","Ho, aniyamit nindra le hormone level lai asar garera period irregular banauna sakcha.",period_question
How does birth control affect my periods?,Birth control le mero period ma kasari asar garcha?,"Birth control pills can irregulate periods, lighten flow, or even stop periods temporarily.","Birth control pills le period lai irregular banaune, halko banaune, ya samayako lagi rokna sakcha.",period_question
Can I get pregnant right after my period?,Period sakisake pachi pregnancy huna sakcha?,"Yes, if you have a short cycle, ovulation may occur soon after your period.","Ho, cycle chhoto bhaye period sakisake pachi nai ovulation huna sakcha.",period_question
How do I track my ovulation?,Mero ovulation kasari track garna sakchhu?,"You can track ovulation by monitoring basal body temperature, cervical mucus, or using ovulation test kits.","Basal body temperature, cervical mucus, ra ovulation test kit use garera ovulation track garna sakcha.",period_question
Why do I get pimples before my period?,Mero period auna agadi pimples kina aauchha?,"Hormonal fluctuations before periods can increase oil production, causing acne.",Period auna agadi hormonal fluctuation le oil production badhaune ra acne banauna sakcha.,symptom_question
Why does my back hurt during my period?,Period ko bela mero dhad kina dukhcha?,Back pain during periods is caused by uterine contractions and inflammation.,Period ko uterine contractions ra inflammation le dhad dukhai banauna sakcha.,symptom_question
Does drinking coffee make period cramps worse?,Coffee piyera period dukhai badcha?,"Yes, caffeine can tighten blood vessels and increase cramping.","Ho, caffeine le blood vessels tight garera cramps badhauna sakcha.",cramp_question
Does drinking coffee make period cramps worse?,Coffee khana milcha?,"Yes, caffeine can tighten blood vessels and increase cramping.","Ho, caffeine le blood vessels tight garera cramps badhauna sakcha.",cramp_question
How can I sleep better during my period?,Period ko bela ramrari sutna kasari sakchhu?,"Use a heating pad, wear comfortable clothes, and maintain a sleep routine.","Heating pad use garne, sajilo luga lagaune, ra nindra routine maintain garne.",lifestyle_question
Can exercising help with period pain?,Kasari exercise garda period dukhai kam huncha?,Light exercises like walking and yoga can help reduce cramps.,Halka exercise jastai walking ra yoga le cramps hatauna sakcha.,lifestyle_question
What color should period blood be?,Period ko ragat ko rang kasto huncha?,Normal period blood ranges from bright red to dark brown.,Normal period ko ragat ujyalo rato dekhi dark brown samma huncha.,period_question
Can dehydration make period symptoms worse?,Paani ko kami le period symptoms badhauna sakcha?,"Yes, staying hydrated can help reduce bloating and cramps.","Ho, hydrated bhaye bloating ra cramps kam huna sakcha.",symptom_question
How do I prevent bloating during my period?,Period ko bela bloating kasari kam garna sakchhu?,"Avoid salty foods, drink plenty of water, and exercise lightly.","Nunilo khana nakhane, dherai paani khane, ra halka exercise garne.",lifestyle_question
Is it normal to feel extra hungry before my period?,Period auna agadi dherai bhok lagne normal ho?,"Yes, hormonal changes can increase appetite before your period.","Ho, hormonal changes le bhok badhauna sakcha.",mood_question
Can a hot water bottle help with cramps?,Taato paani rakheko bottle le cramps hatauna madat garcha?,"Yes, applying heat to your abdomen can relax muscles and reduce pain.","Ho, taato bottle le muscles relax garera dukhai kam garna sakcha.",cramp_question
Can alcohol affect my period?,Alcohol le mero period ma asar parcha?,"Yes, excessive alcohol can disrupt hormones and cause irregular periods.","Ho, dherai alcohol le hormone balance bigari period irregular banauna sakcha.",lifestyle_question
Why do my legs feel heavy during my period?,Period ko bela mero khutta bhari bhari kina huncha?,Poor circulation and fluid retention can cause heavy legs during periods.,Poor circulation ra fluid retention le period ma khutta bhari bhari banauna sakcha.,symptom_question
Can stress make my periods more painful?,Stress le mero period ko dukhai badhauna sakcha?,"Yes, stress increases cortisol levels, which can make cramps worse.","Ho, stress le cortisol level badhaune bhaye cramps dherai huncha.",cramp_question
How long does PMS last?,PMS kati din samma huncha?,PMS symptoms usually last 3-7 days before your period starts.,PMS symptoms period auna 3-7 din agadi samma basna sakcha.,mood_question
Can PCOS cause weight gain?,PCOS le weight gain huna sakcha?,"Yes, PCOS affects insulin resistance, which can lead to weight gain.","Ho, PCOS le insulin resistance badhaune bhaye weight gain huna sakcha.",symptom_question
Why do women with PCOS have irregular periods?,PCOS bhayeko mahila haruko period irregular kina huncha?,"PCOS disrupts ovulation, causing delayed or missed periods.",PCOS le ovulation disrupt garne bhaye period dhilo ya irregular huncha.,period_question
How can I regulate my periods with PCOS?,PCOS bhaye period kasari regular banaune?,"Regular exercise, a balanced diet, and stress management can help regulate periods.","Regular exercise, balanced diet, ra stress management le period regulate garna sakcha.",lifestyle_question
Does PCOS cause hair loss?,PCOS le kapaal jharna sakcha?,"Yes, PCOS can cause hair thinning due to hormonal imbalances.","Ho, PCOS le hormonal imbalance le kapaal jharna sakcha.",symptom_question
Can PCOS lead to infertility?,PCOS le pregnancy ma problem lyauna sakcha?,"PCOS can make conception difficult, but treatments can help manage fertility.","PCOS le pregnancy garna garo banauna sakcha, tara treatment le madat garna sakcha.",lifestyle_question
How does PCOS affect mood?,PCOS le mood ma kasari asar garcha?,"PCOS can cause mood swings, anxiety, and depression due to hormonal changes.","PCOS le hormonal changes le mood swings, anxiety, ra depression huna sakcha.",mood_question
Can I reverse PCOS naturally?,PCOS naturally thik garna sakinchha?,"While PCOS cannot be cured, lifestyle changes can help manage symptoms.","PCOS pura thik ta hudaina, tara lifestyle change le symptoms control garna sakcha.",lifestyle_question
Is PCOS a lifelong condition?,PCOS jindagi bhari rahane rog ho?,"PCOS is a lifelong hormonal disorder, but symptoms can be managed with the right care.","PCOS ek jindagi bhar rahane hormonal disorder ho, tara symptoms ramro care le control garna sakcha.",symptom_question
Can PCOS cause severe period pain?,PCOS bhayeko bela period dherai dukhcha?,Some women with PCOS experience painful periods due to hormonal imbalances.,Kehi mahila haru ma PCOS le hormonal imbalance le period dukhai badhauna sakcha.,cramp_question
Does PCOS affect sleep?,PCOS le sutne samasya banauna sakcha?,"Yes, PCOS can cause sleep disturbances due to hormonal fluctuations.","Ho, PCOS le hormonal changes le nindra ko samasya banauna sakcha.",lifestyle_question
What foods should I avoid if I have PCOS?,PCOS bhaye kun khana haru hatau?,"Avoid sugary, processed, and high-carb foods to manage symptoms.","Mitho, processed, ra dherai carbohydrate bhayeko khana hatau.",diet_question
Can exercise help with PCOS?,Exercise le PCOS ko symptoms hatauna sakcha?,"Yes, regular exercise improves insulin sensitivity and reduces symptoms.","Ho, regular exercise le insulin sensitivity badhaune ra symptoms kam garna sakcha.",lifestyle_question
Is stress linked to PCOS?,Stress le PCOS bigarxa?,"Yes, stress can worsen PCOS symptoms by increasing cortisol levels.","Ho, stress le cortisol badhaune bhaye PCOS symptoms worsen huncha.",lifestyle_question
Can PCOS cause depression?,PCOS le depression huna sakcha?,"Yes, hormonal imbalances in PCOS can lead to depression and anxiety.","Ho, PCOS le hormonal imbalance le depression ra anxiety huna sakcha.",mood_question
What are the best supplements for PCOS?,PCOS ko lagi kun supplements best huncha?,"Vitamin D, magnesium, and omega-3 such as dairy products, egg yolks, spinach, almonds, walnuts are beneficial for managing PCOS.","Vitamin D, magnesium, ra omega-3 jastai dairy product, saag, badam, okhar le PCOS symptoms manage garna madat garcha.",lifestyle_question
Does PCOS increase the risk of diabetes?,PCOS le diabetes ko risk badhauna sakcha?,"Yes, PCOS is linked to insulin resistance, which increases diabetes risk.","Ho, PCOS le insulin resistance badhaune bhaye diabetes ko risk badhauna sakcha.",symptom_question
Can PCOS be diagnosed through ultrasound?,PCOS ultrasound bata thaha huna sakcha?,"Yes, an ultrasound can help detect ovarian cysts, but blood tests confirm diagnosis.","Ho, ultrasound le ovarian cysts dekhna sakcha, tara blood test le confirm garcha.",symptom_question
"What is intermittent fasting?","Intermittent fasting ke ho?","Intermittent fasting is an eating pattern that alternates between periods of eating and fasting, which may aid in weight loss and improve metabolic health.","Intermittent fasting ek khane tarika ho, jasle khane ra upawas garne samay ko adan-pradan garcha, jun wajan ghatauna ra metabolic swasthya sudharna madat garna sakcha.",diet_question
Is fasting good for PCOS?,PCOS bhaye fasting garna milcha?,Intermittent fasting can help improve insulin sensitivity in some PCOS patients.,Intermittent fasting le insulin sensitivity improve garna sakcha.,lifestyle_question
Can herbal teas help with PCOS?,Herbal tea le PCOS symptoms hatauna sakcha?,Some teas like spearmint and green tea may help balance hormones.,Spearmint ra green tea le hormones balance garna madat garcha.,diet_question
Can I have sex during my period?,Period ko bela sex garna milcha?,"Yes, it is safe, but using protection is recommended to prevent infections.","Ho, safe ho, tara infection bata bachna protection use garne.",lifestyle_question
Can sex make my period come early?,Sex garda period chhito aauchha?,"Sex can cause uterine contractions, which may trigger bleeding, but it doesn’t change the cycle.","Sex le uterine contractions huna sakcha ra bleeding huna sakcha, tara cycle change hudaina.",period_question
Does sex help with period cramps?,Sex le period ko cramps hatauna sakcha?,"Yes, orgasms release endorphins that help reduce cramps.","Ho, orgasm le endorphins release garera cramps hatauna sakcha.",cramp_question
Is it possible to get pregnant during my period?,Period ko bela pregnant huna sakchha?,"Yes, if you have a short cycle, ovulation may occur soon after your period.","Ho, cycle chhoto bhaye period sakisake pachi nai ovulation huna sakcha.",period_question
Why does my vagina feel dry during sex?,Sex garda vagina dry kina huncha?,"Vaginal dryness can be due to hormonal changes, stress, or lack of foreplay.","Hormonal changes, stress, ya foreplay ko kami le vaginal dryness huna sakcha.",symptom_question
Does sex change the timing of my period?,Sex garda period irregular huna sakcha?,"No, but stress or hormonal changes from arousal may slightly affect the cycle.","Hoina, tara stress ya hormonal changes le cycle ma halka asar garna sakcha.",period_question
Can I use condoms during my period?,Period ko bela condom use garna milcha?,"Yes, condoms provide protection against pregnancy and infections.","Ho, condoms le pregnancy ra infections bata bachna madat garcha.",lifestyle_question
Why do I bleed after sex?,Sex pachi ragat kina aauchha?,"Bleeding after sex can be due to vaginal dryness, friction, or an underlying issue.","Vaginal dryness, friction, ya aru karan le bleeding huna sakcha.",symptom_question
Can sex delay my period?,Sex le period dhilo banauna sakcha?,"No, but stress, hormonal changes, or pregnancy can delay periods.","Hoina, tara stress, hormonal changes, ya pregnancy le period dhilo banauna sakcha.",period_question
Can I get STDs if I have sex during my period?,Period ko bela sex garda STD lagna sakcha?,"Yes, the risk of infections is higher due to open blood vessels.","Ho, open blood vessels bhayeko le infection ko risk badhauna sakcha.",lifestyle_question
Does sex increase period flow?,Sex garda period ko ragat badhcha?,It may temporarily increase flow due to uterine contractions.,Uterine contractions le temporary flow badhauna sakcha.,period_question
Why do I feel more aroused before my period?,Period auna agadi dherai aroused kina huncha?,Hormonal changes before your period can increase sexual desire.,Period auna agadi hormonal changes le sexual desire badhauna sakcha.,mood_question
Can period blood act as a natural lubricant?,Period ko ragat lubricant jasto kaam garna sakcha?,"Yes, period blood can provide natural lubrication.","Ho, period ko ragat natural lubricant ko kaam garna sakcha.",lifestyle_question
Why do my breasts hurt after sex?,Sex pachi mero chhati kina dukhcha?,Breast tenderness after sex can be due to hormonal changes or stimulation.,Hormonal changes ya stimulation le breast tenderness huna sakcha.,symptom_question
Does masturbating affect my period?,Masturbation garda period ma asar parcha?,"No, masturbation does not affect the menstrual cycle.","Hoina, masturbation le menstrual cycle ma asar gardaina.",lifestyle_question
Can sex relieve stress before my period?,Period auna agadi sex garda stress kam huncha?,"Yes, orgasms release endorphins that help reduce stress.","Ho, orgasm le endorphins release garera stress kam garna sakcha.",mood_question
Why do I feel bloated after sex?,Sex pachi bloating kina huncha?,Bloating after sex can be due to muscle contractions and blood flow changes.,Muscle contractions ra blood flow changes le bloating banauna sakcha.,symptom_question
Does having sex more often regulate my periods?,Dherai sex garda period regular huncha?,"No, but sexual activity can reduce stress, which may help regulate periods.","Hoina, tara sex le stress kam garera period regulate garna madat garna sakcha.",period_question
Can orgasms trigger my period?,Orgasm garda period suru huna sakcha?,"Sometimes, orgasms cause uterine contractions that trigger bleeding.","Kahile kahi, orgasm le uterine contractions huna sakcha ra bleeding huna sakcha.",period_question
Is it okay to have rough sex during my period?,Period ko bela rough sex garna milcha?,"Rough sex can cause discomfort or irritation, so be gentle.","Rough sex le discomfort ya irritation huna sakcha, tesaile halka rakhne.",lifestyle_question
Why do I feel sleepy after sex?,Sex pachi jhan thakai kina lagcha?,"Sex releases hormones like oxytocin and prolactin, making you feel relaxed and sleepy.",Oxytocin ra prolactin jasto hormones release hune bhaye thakai lagna sakcha.,lifestyle_question
Can sex cause urinary tract infections (UTI)?,Sex garda UTI huna sakcha?,"Yes, bacteria can enter the urethra, increasing UTI risk.","Ho, bacteria urethra ma gaye bhane UTI huna sakcha.",symptom_question
Can birth control pills affect my sex drive?,Birth control le mero sex drive ma asar parcha?,"Yes, some birth control pills may decrease libido due to hormonal effects.","Ho, kehi birth control pills le hormones le libido kam garna sakcha.",lifestyle_question
How does sex affect vaginal pH?,Sex le vaginal pH ma kasari asar garcha?,"Semen can alter vaginal pH, increasing the risk of infections.",Semen le vaginal pH change garera infection ko risk badhauna sakcha.,lifestyle_question
Does period blood contain harmful bacteria?,Period ko ragat ma harmful bacteria huncha?,"No, period blood is not dirty, but maintaining hygiene is important.","Hoina, period ko ragat dirty hudaina, tara hygiene maintain garne jaruri huncha.",period_question
Can periods stop after first-time sex?,Pahilo patak sex garda period band huna sakcha?,"No, but stress or hormonal changes may cause a temporary delay.","Hoina, tara stress ya hormonal changes le period dhilo huna sakcha.",period_question
Is it normal to have cramps after sex?,Sex pachi cramps aunu normal ho?,"Yes, mild cramps can occur due to uterine contractions.","Ho, uterine contractions le halka cramps auna sakcha.",cramp_question
Can I get pregnant if he pulls out before ejaculating?,Pull-out method garda pregnancy huna sakcha?,"Yes, pre-ejaculate fluid may contain sperm, leading to pregnancy.","Ho, pre-ejaculate fluid ma sperm huna sakcha, jasle pregnancy huna sakcha.",lifestyle_question
Why does sex hurt sometimes?,Sex garda kahile kahi dukhcha kina?,"Pain during sex can be due to vaginal dryness, lack of foreplay, or an underlying condition.","Vaginal dryness, foreplay ko kami, ya aru health issue le pain huna sakcha.",symptom_question
Does period blood smell different after sex?,Sex pachi period ko ragat ko baas farak huncha?,"Yes, due to mixing with semen and changes in vaginal pH.","Ho, semen misiyera ra vaginal pH change bhayeko le baas farak huncha.",lifestyle_question
Can oral sex affect my period?,Oral sex le period ma asar parcha?,"No, oral sex does not affect your menstrual cycle.","Hoina, oral sex le menstrual cycle ma asar gardaina.",lifestyle_question
Is it safe to use tampons during sex?,Sex garda tampon use garna milcha?,"No, using tampons during sex can be uncomfortable and may cause injury.","Hoina, tampon le discomfort ra injury banauna sakcha.",lifestyle_question
Can I get pregnant if I have sex a few days before my period?,Period auna agadi kei din sex garda pregnant huna sakcha?,"Yes, if ovulation happens late in your cycle, pregnancy is possible.","Ho, cycle late ovulate bhaye pregnancy ko sambhavana huncha.",period_question
Why do I feel itchy after sex?,Sex pachi itchy kina huncha?,"Itching may be due to irritation, dryness, or an allergic reaction.","Irritation, dryness, ya allergy le itching huna sakcha.",symptom_question
Can sex during my period reduce bloating?,Period ma sex garda bloating kam huncha?,"Yes, orgasms can help reduce bloating by relaxing the muscles.","Ho, orgasm le muscles relax garera bloating kam garna sakcha.",lifestyle_question
Does being a virgin affect my period?,Virgin bhaye period ma kei asar parcha?,"No, virginity does not affect the menstrual cycle.","Hoina, virginity le menstrual cycle ma asar gardaina.",period_question
Can I have sex if I have a yeast infection?,Yeast infection bhaye sex garna milcha?,It’s not recommended as it may worsen symptoms and spread infection.,"Milena, infection bigrinu sakcha ra partner lai transmit huna sakcha.",symptom_question
Why do I feel emotional after sex?,Sex pachi mood kina change huncha?,Hormones like oxytocin and dopamine can cause emotional shifts.,Oxytocin ra dopamine le mood swings banauna sakcha.,mood_question
Can I use lube during period sex?,Period sex garda lubricant use garna milcha?,"Yes, lube can help reduce friction and discomfort.","Ho, lube le friction ra discomfort kam garna sakcha.",lifestyle_question
Does sex make me lose my virginity?,Sex garda virginity janchha?,"Virginity is a social concept; sex may break the hymen, but that doesn't define virginity.","Virginity samajik concept ho. sex le hymen break garna sakcha, tara tesle virginity define gardaina.",lifestyle_question
Why do I feel sore after sex?,Sex pachi sharir kina dukchha?,"Soreness may be due to friction, muscle tension, or rough sex.","Friction, muscle tension, ya rough sex le soreness huna sakcha.",symptom_question
Can I have sex after taking emergency contraception?,Emergency pill khaye pachi sex garna milcha?,"Yes, but use protection as emergency pills do not prevent future pregnancies.","Ho, tara protection use garna jaruri huncha kina bhane emergency pills sirf ek patak kaam garcha.",lifestyle_question
Does sex improve sleep?,Sex garda nindra ramro huncha?,"Yes, orgasms release hormones that promote relaxation and better sleep.","Ho, orgasm le relaxation hormones release garera ramro nindra aauna madat garcha.",lifestyle_question
Can sex cause lower back pain?,Sex garda back pain huna sakcha?,"Yes, certain positions can strain muscles and cause back pain.","Ho, kei position le muscles strain garera back pain banauna sakcha.",symptom_question
Can period cramps get worse after sex?,Sex garda period cramps badhcha?,"Sometimes, uterine contractions during orgasm can temporarily increase cramps.","Kahile kahi, orgasm le uterine contractions badhaune bhaye cramps intense huna sakcha.",cramp_question
Can I get pregnant if I have sex on the last day of my period?,Period ko antim din sex garda pregnant huna sakcha?,"It’s unlikely, but if ovulation occurs early, pregnancy is possible.","Sambhavana dherai kam cha, tara ovulation chhito bhaye pregnant huna sakcha.",period_question
Why do I feel tingling after sex?,"Sex pachi jhan jhan garyo jasto huncha, kina?",Tingling can be due to increased blood flow or nerve stimulation.,Increased blood flow ya nerve stimulation le tingling huncha.,symptom_question
Can sex help regulate my periods?,Sex le mero period regular banauna sakcha?,"Indirectly, as it helps reduce stress, which can balance hormones.","Directly ta hudaina, tara stress kam garera hormones balance garna sakcha.",period_question
Can sex during my period cause infection?,Period ko bela sex garda infection huna sakcha?,"Yes, menstrual blood creates a favorable environment for bacteria.","Ho, menstrual blood le bacterial infection ko risk badhauna sakcha.",lifestyle_question
Does sex improve menstrual health?,Sex le menstrual health ma asar garcha?,"Regular sex can reduce stress and balance hormones, improving menstrual health.",Regular sex le stress kam garera hormones balance garna sakcha.,lifestyle_question
Can sex change my vaginal discharge?,Sex garda vaginal discharge change huncha?,"Yes, semen and arousal fluids can affect discharge consistency.","Ho, semen ra arousal fluids le discharge consistency change garna sakcha.",symptom_question
Does masturbation affect period cramps?,Masturbation garda period cramps kam huncha?,"Yes, orgasms can relieve cramps by relaxing the uterus.","Ho, orgasm le uterus relax garera cramps hatauna sakcha.",cramp_question
Does orgasm affect period cramps?,orgasm le period cramps kam huncha?,"Yes, orgasms can relieve cramps by relaxing the uterus.","Ho, orgasm le uterus relax garera cramps hatauna sakcha.",cramp_question
Is it normal to feel sad after sex?,Sex pachi dukhha feel garnu normal ho?,"Yes, post-sex blues can happen due to hormonal shifts.","Ho, hormonal shift le post-sex blues huna sakcha.",mood_question
What is endometriosis?,Endometriosis vane ko k ho?,"Endometriosis is a condition where tissue similar to the uterine lining grows outside the uterus, causing pain and irregular periods.","Endometriosis bhane ko uterus vitra ko tissue uterus bahira badhne rog ho, jasle dukhai ra irregular period huna sakcha.",medical_condition_question
How do I know if I have fibroids?,Malaai fibroids cha vane kasari thaha paune?,"Symptoms include heavy periods, pelvic pain, bloating, and frequent urination. An ultrasound can confirm.","Dherai ragat jane, pet dukhne, bloating, ra dherai peshab jane fibroids ka symptoms hun. Ultrasound le confirm garna sakcha.",medical_condition_question
Can PCOS cause irregular periods?,PCOS le period irregular huna sakcha?,"Yes, PCOS affects hormone balance, leading to missed or irregular periods.","Ho, PCOS le hormone imbalance garera period irregular huna sakcha.",medical_condition_question
What is pelvic inflammatory disease (PID)?,pelvic inflammatory disease (PID) vane ko k ho?,"PID is an infection of the female reproductive organs, often caused by STIs, leading to pain and fertility issues.","PID bhane ko mahila ko reproductive organs ko infection ho, jasma STI le infection banauna sakcha, ra tesle fertility ma problem huna sakcha.",medical_condition_question
Can endometriosis cause infertility?,Endometriosis le pregnancy ma problem banauna sakcha?,"Yes, in severe cases, it can block the fallopian tubes or affect egg quality.","Ho, severe case ma fallopian tube block garna sakcha ya egg quality effect garna sakcha.",medical_condition_question
Why do I get UTIs after my period?,Period pachi UTIs kina aaucha?,"Hormonal changes and tampon/pad use can increase bacterial growth, leading to UTIs.",Hormonal change ra tampon/pad use le bacteria badhaune bhaye UTIs huna sakcha.,medical_condition_question
Can fibroids go away on their own?,Fibroids afai harauchha?,"Small fibroids may shrink, but large ones may need treatment.","Sano fibroids afai sano huna sakcha, tara thulo bhaye treatment chahinchha.",medical_condition_question
What are ovarian cysts?,Ovarian cysts vaneko k ho?,Fluid-filled sacs on the ovaries that can cause pain and irregular periods.,"Ovarian cysts bhane ko ovaries ma banaeko fluid-filled thaili ho, jasle dukhai ra irregular periods banauna sakcha.",medical_condition_question
How do I know if I have PID?,PID cha vane kasari thaha paune?,"Symptoms include pelvic pain, unusual discharge, fever, and painful urination.","Pet dukhne, discharge ajib ko huney, joro aune, ra peshab dukhne symptoms hun.",medical_condition_question
Can birth control help with endometriosis pain?,Birth control le endometriosis ko dukhai kam garna sakcha?,"Yes, hormonal birth control can reduce pain by controlling estrogen levels.","Ho, hormonal birth control le estrogen level control garera dukhai kam garna sakcha.",medical_condition_question
Why does my period blood smell bad?,Mero period ko ragat ko baas ajib ko kina cha?,A strong odor may indicate an infection or poor hygiene.,"Dherai nasochnay, baas bhaye infection ya hygiene ko problem huna sakcha.",medical_condition_question
Can I have a normal pregnancy with PCOS?,PCOS bhaye pani pregnancy normal huncha?,"Yes, but it may require monitoring and treatment for ovulation.","Ho, tara ovulation monitor garera treatment chahina sakcha.",medical_condition_question
What are the symptoms of endometriosis?,Endometriosis ko symptoms k k huncha?,"Symptoms include severe period pain, heavy bleeding, pain during sex, and digestive issues.","Dherai dukhai, dherai ragat janu, sex garda dukhai, ra digestive problem symptoms hun.",medical_condition_question
Does PCOS cause acne?,PCOS le skin ma acne huna sakcha?,"Yes, hormonal imbalances in PCOS can cause acne and oily skin.","Ho, PCOS ko hormone imbalance le acne ra oily skin huna sakcha.",medical_condition_question
i have many pimples why?,mero dherai pimples aayo kina?,"hormonal imbalances in PCOS can cause acne and oily skin."," PCOS ko hormone imbalance le acne ra oily skin huna sakcha.",medical_condition_question
Can fibroids cause weight gain?,Fibroids le weight gain huna sakcha?,"Yes, large fibroids can cause bloating and weight gain.","Ho, thulo fibroids le bloating ra weight gain huna sakcha.",medical_condition_question
How does stress affect my period?,Stress le period ma kasari asar garcha?,Stress can delay or stop periods due to hormonal imbalances.,Stress le hormone balance bigrayera period late ya skip huna sakcha.,medical_condition_question
Can menopause start early?,Menopause chhito suru huna sakcha?,"Yes, premature menopause can occur due to genetics or medical conditions.","Ho, genetics ya health problem le chhito menopause huna sakcha.",medical_condition_question
Why do I have painful periods?,Mero period dukhne kina huncha?,"Painful periods can be caused by endometriosis, fibroids, or hormonal imbalances.","Endometriosis, fibroids, ya hormonal imbalance le dukhai huna sakcha.",medical_condition_question
Can an IUD affect my periods?,IUD le mero period ma asar parcha?,"Yes, some IUDs can make periods lighter, while others can cause heavier bleeding.","Ho, kei IUD le period halka banauna sakcha, kei le dherai ragat flow garauna sakcha.",medical_condition_question
What are the signs of hormonal imbalance?,Hormonal imbalance ko signs k ho?,"Signs include irregular periods, weight gain, acne, and mood swings.","Irregular period, weight gain, acne, ra mood swings hormonal imbalance ko sanket hun.",medical_condition_question
Can thyroid problems affect periods?,Thyroid problem bhaye period irregular huncha?,"Yes, both hypothyroidism and hyperthyroidism can disrupt the menstrual cycle.","Ho, thyroid disorder le menstrual cycle bigarna sakcha.",medical_condition_question
What is adenomyosis?,Adenomyosis vaneko k ho?,"Adenomyosis occurs when the uterine lining grows into the muscle wall, causing pain and heavy periods.","Adenomyosis bhane ko uterus ko lining muscle bhitra badhne condition ho, jasle dukhai ra dherai ragat flow huna sakcha.",medical_condition_question
Can UTIs cause vaginal itching?,UTI le vaginal itching huna sakcha?,"Yes, UTIs can cause irritation, burning, and itching around the vaginal area.","Ho, UTI le irritation, burning, ra vaginal itching huna sakcha.",medical_condition_question
Why do I get blood clots during my period?,Period ma ragat ka clots kina auncha?,"Blood clots are normal, but very large clots may indicate a medical condition.","Ragat ka thopa normal ho, tara dherai thulo bhaye health problem huna sakcha.",medical_condition_question
Can a cyst rupture during my period?,Period ma ovarian cyst rupture huna sakcha?,"Yes, cysts can rupture, causing sudden sharp pain.","Ho, cyst rupture bhaye sudden pain huncha.",medical_condition_question
What is toxic shock syndrome (TSS)?,Toxic shock syndrome vane ko k ho?,"TSS is a rare but serious condition caused by bacterial toxins, often linked to tampon use.","TSS ek dherai kam dekhine tara jatil condition ho, jun bacteria ko toxin le huncha ra tampon use sanga sambandhit huncha.",medical_condition_question
